"Date","Price","Open","High","Low","Vol.","Change %"
"11/08/2024","10.82","10.47","11.44","10.35","4.26M","4.04%"
"11/07/2024","10.40","10.30","10.78","9.90","5.36M","7.66%"
"11/06/2024","9.66","9.37","9.90","9.07","4.35M","3.87%"
"11/05/2024","9.30","8.59","9.33","8.45","2.58M","6.65%"
"11/04/2024","8.72","8.53","8.86","8.29","2.27M","0.58%"
"11/01/2024","8.67","8.45","9.10","8.45","2.05M","4.33%"
"10/31/2024","8.31","8.46","8.52","8.21","1.13M","-2.46%"
"10/30/2024","8.52","8.48","8.86","8.48","905.69K","-0.47%"
"10/29/2024","8.56","8.70","8.76","8.32","1.85M","-1.72%"
"10/28/2024","8.71","8.78","8.97","8.57","1.06M","-0.46%"
"10/25/2024","8.75","8.39","8.88","8.37","1.80M","4.04%"
"10/24/2024","8.41","8.34","8.61","8.19","1.85M","0.72%"
"10/23/2024","8.35","8.32","8.50","8.11","2.01M","0.12%"
"10/22/2024","8.34","8.24","8.46","8.03","2.55M","0.36%"
"10/21/2024","8.31","8.75","8.81","8.27","2.31M","-4.70%"
"10/18/2024","8.72","9.42","9.71","8.63","2.65M","-8.11%"
"10/17/2024","9.49","9.73","9.79","9.44","945.74K","-2.37%"
"10/16/2024","9.72","9.37","9.81","9.33","1.09M","3.96%"
"10/15/2024","9.35","9.77","9.85","9.26","1.34M","-4.00%"
"10/14/2024","9.74","9.70","9.87","9.48","1.18M","-0.51%"
"10/11/2024","9.79","9.74","9.84","9.23","2.11M","0.10%"
"10/10/2024","9.78","9.70","9.81","9.59","1.07M","-0.20%"
"10/09/2024","9.80","9.64","9.87","9.45","1.07M","1.24%"
"10/08/2024","9.68","9.80","10.09","9.66","1.16M","-1.12%"
"10/07/2024","9.79","10.00","10.05","9.62","1.36M","-2.30%"
"10/04/2024","10.02","10.20","10.44","9.83","1.62M","-1.52%"
"10/03/2024","10.18","10.14","10.67","10.06","2.27M","-0.54%"
"10/02/2024","10.23","9.51","10.34","9.43","1.90M","7.12%"
"10/01/2024","9.55","9.27","9.62","9.21","2.49M","2.69%"
"09/30/2024","9.30","9.32","9.74","9.14","1.96M","-0.64%"
"09/27/2024","9.36","9.25","9.37","9.04","1.65M","2.18%"
"09/26/2024","9.16","9.12","9.68","9.11","2.24M","0.66%"
"09/25/2024","9.10","9.68","9.79","9.02","1.65M","-5.99%"
"09/24/2024","9.68","9.61","10.03","9.40","1.33M","0.52%"
"09/23/2024","9.63","10.12","10.25","9.47","2.19M","-5.12%"
"09/20/2024","10.15","10.17","10.31","9.78","3.65M","0.10%"
"09/19/2024","10.14","10.69","11.18","10.04","4.40M","-2.50%"
"09/18/2024","10.40","10.26","10.71","9.90","2.55M","0.29%"
"09/17/2024","10.37","10.23","10.80","10.23","1.94M","2.07%"
"09/16/2024","10.16","10.70","10.98","10.02","1.56M","-4.69%"
"09/13/2024","10.66","10.60","10.70","10.34","1.07M","1.33%"
"09/12/2024","10.52","10.48","10.95","10.09","1.49M","0.00%"
"09/11/2024","10.52","10.76","10.76","10.34","1.42M","-3.22%"
"09/10/2024","10.87","10.75","11.01","10.58","1.55M","0.93%"
"09/09/2024","10.77","10.46","11.16","10.41","1.74M","3.96%"
"09/06/2024","10.36","10.82","10.96","10.18","1.73M","-4.34%"
"09/05/2024","10.83","10.46","10.96","10.34","1.01M","3.54%"
"09/04/2024","10.46","10.34","11.19","10.21","1.25M","-0.38%"
"09/03/2024","10.50","10.78","11.08","10.28","1.26M","-3.49%"
"08/30/2024","10.88","11.20","11.33","10.60","1.51M","-1.09%"
"08/29/2024","11.00","10.74","11.24","10.70","1.74M","2.90%"
"08/28/2024","10.69","10.53","10.95","10.41","1.54M","1.52%"
"08/27/2024","10.53","10.58","10.87","10.50","1.88M","-0.47%"
"08/26/2024","10.58","9.89","10.59","9.60","3.37M","7.63%"
"08/23/2024","9.83","8.46","10.16","8.46","6.27M","18.15%"
"08/22/2024","8.32","8.32","8.48","8.24","1.05M","-0.24%"
"08/21/2024","8.34","8.48","8.73","8.16","1.88M","-0.95%"
"08/20/2024","8.42","8.54","8.64","8.15","1.58M","-2.66%"
"08/19/2024","8.65","8.48","8.70","8.13","2.33M","1.88%"
"08/16/2024","8.49","8.53","8.59","8.17","2.75M","-0.12%"
"08/15/2024","8.50","9.20","9.21","8.25","6.85M","-11.27%"
"08/14/2024","9.58","10.01","10.02","9.26","2.71M","-3.72%"
"08/13/2024","9.95","9.60","10.19","9.40","2.62M","4.85%"
"08/12/2024","9.49","9.69","9.77","9.32","1.86M","-2.27%"
"08/09/2024","9.71","9.07","9.73","8.95","2.15M","8.61%"
"08/08/2024","8.94","8.96","9.34","8.82","3.16M","1.02%"
"08/07/2024","8.85","9.13","9.23","8.77","1.18M","-1.67%"
"08/06/2024","9.00","9.10","9.41","8.88","1.19M","-1.04%"
"08/05/2024","9.10","8.01","9.38","7.86","2.53M","-1.68%"
"08/02/2024","9.25","9.07","9.31","8.71","2.01M","-2.43%"
"08/01/2024","9.48","10.09","10.22","9.43","1.67M","-5.86%"
"07/31/2024","10.07","9.73","10.63","9.58","2.04M","4.57%"
"07/30/2024","9.63","9.68","10.00","9.35","1.49M","0.63%"
"07/29/2024","9.57","10.06","10.16","9.10","3.67M","-4.97%"
"07/26/2024","10.07","10.26","10.51","9.99","1.46M","-0.30%"
"07/25/2024","10.10","9.74","10.68","9.63","2.38M","3.38%"
"07/24/2024","9.77","10.04","10.48","9.75","1.51M","-4.22%"
"07/23/2024","10.20","9.80","10.31","9.78","1.90M","3.55%"
"07/22/2024","9.85","9.89","10.02","9.55","1.72M","1.03%"
"07/19/2024","9.75","9.79","9.92","9.62","1.02M","-0.20%"
"07/18/2024","9.77","10.33","10.44","9.53","2.23M","-4.87%"
"07/17/2024","10.27","10.45","10.56","10.11","1.61M","-3.75%"
"07/16/2024","10.67","10.94","11.22","10.53","2.00M","-0.93%"
"07/15/2024","10.77","10.90","11.01","10.16","2.18M","1.41%"
"07/12/2024","10.62","10.83","11.04","10.45","2.05M","-1.03%"
"07/11/2024","10.73","9.94","11.09","9.78","4.10M","9.38%"
"07/10/2024","9.81","10.32","10.55","9.27","4.12M","-2.10%"
