"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2023","10.69","10.98","11.31","10.51","1.07M","-2.20%"
"06/13/2023","10.93","10.28","11.28","10.16","1.43M","7.05%"
"06/12/2023","10.21","10.10","10.58","9.95","1.46M","2.72%"
"06/09/2023","9.94","10.01","10.15","9.72","990.18K","-0.70%"
"06/08/2023","10.01","9.65","10.24","9.59","1.47M","3.95%"
"06/07/2023","9.63","8.67","9.71","8.54","1.54M","11.72%"
"06/06/2023","8.62","8.52","8.64","8.13","1.10M","0.70%"
"06/05/2023","8.56","8.13","8.65","8.04","990.75K","4.39%"
"06/02/2023","8.20","7.66","8.22","7.53","1.05M","7.19%"
"06/01/2023","7.65","7.50","7.84","7.36","1.27M","1.86%"
"05/31/2023","7.51","7.79","8.08","7.25","1.61M","-3.84%"
"05/30/2023","7.81","8.37","8.63","7.79","1.68M","-7.02%"
"05/26/2023","8.40","8.35","8.57","8.11","1.58M","0.24%"
"05/25/2023","8.38","8.50","8.56","8.07","3.31M","-6.79%"
"05/24/2023","8.99","9.39","9.39","8.87","1.69M","-5.07%"
"05/23/2023","9.47","9.87","9.90","9.43","1.05M","-3.76%"
"05/22/2023","9.84","9.56","9.98","9.53","900.68K","3.91%"
"05/19/2023","9.47","9.57","9.76","9.30","907.84K","0.21%"
"05/18/2023","9.45","9.95","9.97","9.23","1.19M","-5.59%"
"05/17/2023","10.01","10.00","10.04","9.78","984.86K","0.30%"
"05/16/2023","9.98","10.20","10.27","9.71","1.46M","-3.11%"
"05/15/2023","10.30","10.16","10.51","10.00","1.08M","2.18%"
"05/12/2023","10.08","10.86","11.09","9.78","2.51M","-6.93%"
"05/11/2023","10.83","11.91","11.98","10.69","3.03M","-9.98%"
"05/10/2023","12.03","14.71","14.76","11.55","4.13M","-18.83%"
"05/09/2023","14.82","14.11","15.12","14.02","731.63K","3.93%"
"05/08/2023","14.26","14.51","14.56","14.01","572.37K","-2.06%"
"05/05/2023","14.56","14.60","14.94","14.54","836.03K","0.55%"
"05/04/2023","14.48","14.84","15.21","14.14","645.81K","-3.47%"
"05/03/2023","15.00","14.35","15.05","14.30","900.54K","5.56%"
"05/02/2023","14.21","14.24","14.39","13.70","1.20M","-1.25%"
"05/01/2023","14.39","13.46","14.69","13.46","697.74K","3.97%"
"04/28/2023","13.84","13.77","14.17","13.29","824.76K","0.58%"
"04/27/2023","13.76","13.89","13.96","13.43","495.76K","-1.01%"
"04/26/2023","13.90","13.51","14.18","13.28","677.13K","3.96%"
"04/25/2023","13.37","13.31","13.41","13.02","441.35K","0.68%"
"04/24/2023","13.28","13.97","13.99","12.95","652.62K","-3.77%"
"04/21/2023","13.80","13.42","14.09","13.15","502.48K","2.60%"
"04/20/2023","13.45","13.44","13.58","13.05","870.19K","-1.03%"
"04/19/2023","13.59","13.56","13.93","13.09","808.81K","-1.66%"
"04/18/2023","13.82","14.11","14.26","13.52","698.87K","-1.14%"
"04/17/2023","13.98","13.77","14.60","13.76","1.10M","0.65%"
"04/14/2023","13.89","14.76","14.81","13.43","1.33M","-5.77%"
"04/13/2023","14.74","13.40","15.40","13.32","2.69M","11.16%"
"04/12/2023","13.26","13.00","13.67","12.94","1.19M","2.87%"
"04/11/2023","12.89","12.38","13.06","12.11","986.12K","4.20%"
"04/10/2023","12.37","12.00","12.47","11.82","797.23K","2.83%"
"04/06/2023","12.03","11.18","12.09","11.08","1.05M","8.48%"
"04/05/2023","11.09","10.69","11.23","10.67","1.30M","2.88%"
"04/04/2023","10.78","11.15","11.20","10.47","1.07M","-3.32%"
"04/03/2023","11.15","11.04","11.46","10.82","1.18M","1.36%"
"03/31/2023","11.00","10.95","11.27","10.89","969.80K","0.92%"
"03/30/2023","10.90","10.75","11.26","10.54","1.05M","1.77%"
"03/29/2023","10.71","10.29","10.98","10.15","1.08M","4.59%"
"03/28/2023","10.24","10.33","10.70","10.19","1.36M","-0.68%"
"03/27/2023","10.31","10.23","10.53","10.18","1.11M","0.78%"
"03/24/2023","10.23","10.69","10.92","10.05","1.14M","-5.28%"
"03/23/2023","10.80","10.98","11.16","10.74","958.88K","-0.55%"
"03/22/2023","10.86","11.59","11.59","10.82","839.24K","-6.06%"
"03/21/2023","11.56","11.68","11.91","11.03","1.11M","-0.09%"
"03/20/2023","11.57","11.15","11.61","10.95","820.20K","4.33%"
"03/17/2023","11.09","10.99","11.26","10.85","1.88M","0.09%"
"03/16/2023","11.08","10.92","11.28","10.74","1.20M","-0.27%"
"03/15/2023","11.11","11.22","11.55","10.65","1.69M","-3.14%"
"03/14/2023","11.47","12.01","12.81","11.38","1.72M","-2.22%"
"03/13/2023","11.73","11.83","12.47","11.58","1.84M","-2.98%"
"03/10/2023","12.09","12.69","12.69","11.87","1.97M","-5.03%"
"03/09/2023","12.73","13.36","13.57","12.06","1.99M","-5.42%"
"03/08/2023","13.46","13.66","13.76","13.31","1.03M","-1.68%"
"03/07/2023","13.69","14.46","14.54","13.64","1.09M","-5.85%"
"03/06/2023","14.54","15.47","15.47","14.43","754.30K","-6.50%"
"03/03/2023","15.55","15.80","16.45","15.55","959.78K","-1.71%"
"03/02/2023","15.82","16.57","16.58","15.39","1.10M","-5.21%"
"03/01/2023","16.69","16.56","17.57","16.39","1.14M","3.15%"
"02/28/2023","16.18","15.99","16.32","15.90","717.36K","1.25%"
"02/27/2023","15.98","15.93","16.46","15.77","811.60K","2.04%"
"02/24/2023","15.66","15.74","16.02","15.35","509.51K","-1.45%"
"02/23/2023","15.89","15.96","16.18","15.63","611.09K","0.13%"
"02/22/2023","15.87","16.15","16.44","15.65","803.63K","-1.92%"
"02/21/2023","16.18","16.83","16.96","16.05","971.69K","-4.66%"
"02/17/2023","16.97","16.69","17.01","16.50","642.52K","2.11%"
"02/16/2023","16.62","16.91","17.43","16.59","1.11M","-3.03%"
"02/15/2023","17.14","17.18","17.18","16.84","474.33K","0.82%"
"02/14/2023","17.00","16.77","17.29","16.60","530.11K","1.01%"
"02/13/2023","16.83","16.76","17.00","16.49","391.11K","1.02%"
"02/10/2023","16.66","16.49","16.72","16.32","705.15K","0.79%"
"02/09/2023","16.53","16.44","16.94","16.34","438.94K","0.85%"
"02/08/2023","16.39","16.74","16.80","16.31","721.96K","-2.03%"
"02/07/2023","16.73","16.59","16.89","16.36","679.73K","1.27%"
"02/06/2023","16.52","16.69","16.86","16.31","872.17K","-0.90%"
"02/03/2023","16.67","16.15","16.80","16.01","834.68K","1.96%"
"02/02/2023","16.35","17.19","17.29","16.16","1.10M","-2.91%"
"02/01/2023","16.84","16.59","17.14","16.20","892.09K","1.63%"
"01/31/2023","16.57","16.16","16.63","16.15","615.50K","3.24%"
"01/30/2023","16.05","16.19","16.37","15.94","540.10K","-3.08%"
"01/27/2023","16.56","16.13","16.65","15.83","584.17K","2.86%"
"01/26/2023","16.10","16.27","16.56","15.63","479.94K","-0.19%"
"01/25/2023","16.13","15.94","16.13","15.50","587.22K","0.56%"
"01/24/2023","16.04","16.32","16.63","16.02","663.87K","-1.72%"
"01/23/2023","16.32","16.29","16.85","16.04","889.33K","0.49%"
"01/20/2023","16.24","15.90","16.35","15.44","1.19M","4.44%"
"01/19/2023","15.55","14.00","15.76","13.90","1.23M","9.74%"
"01/18/2023","14.17","14.79","14.99","14.11","630.05K","-3.41%"
"01/17/2023","14.67","14.20","14.73","13.57","1.26M","3.90%"
"01/13/2023","14.12","13.63","14.14","13.63","812.18K","2.24%"
"01/12/2023","13.81","13.59","13.84","12.81","1.47M","2.07%"
"01/11/2023","13.53","13.71","13.89","13.11","1.17M","-1.89%"
"01/10/2023","13.79","14.46","14.82","13.60","765.36K","-4.77%"
"01/09/2023","14.48","14.93","15.18","14.33","878.29K","-3.53%"
"01/06/2023","15.01","15.15","15.37","14.70","570.83K","-0.60%"
"01/05/2023","15.10","15.48","15.69","14.51","718.51K","-3.76%"
"01/04/2023","15.69","14.75","15.71","14.75","628.32K","6.23%"
"01/03/2023","14.77","15.10","15.10","14.46","641.98K","-0.20%"
"12/30/2022","14.80","14.44","14.81","14.09","459.98K","1.44%"
"12/29/2022","14.59","14.11","14.84","13.95","665.34K","3.77%"
"12/28/2022","14.06","14.13","14.30","13.74","490.58K","0.07%"
"12/27/2022","14.05","14.34","14.36","13.96","684.47K","-1.75%"
"12/23/2022","14.30","14.24","14.78","13.86","683.48K","0.35%"
"12/22/2022","14.25","13.76","14.31","13.37","1.82M","2.08%"
"12/21/2022","13.96","14.19","14.97","13.62","713.34K","-1.69%"
"12/20/2022","14.20","14.71","14.89","14.00","1.20M","-3.60%"
"12/19/2022","14.73","15.84","16.00","14.40","1.18M","-7.71%"
"12/16/2022","15.96","16.26","16.86","15.88","2.14M","-3.21%"
"12/15/2022","16.49","16.50","16.91","16.28","606.58K","-0.84%"
"12/14/2022","16.63","17.00","17.08","16.41","612.32K","-2.52%"
"12/13/2022","17.06","17.30","18.04","16.55","1.09M","2.90%"
"12/12/2022","16.58","16.94","17.09","16.28","1.91M","-2.47%"
"12/09/2022","17.00","16.88","17.19","16.77","424.69K","0.24%"
"12/08/2022","16.96","17.01","17.15","16.67","347.67K","0.00%"
"12/07/2022","16.96","17.06","17.32","16.76","344.52K","-1.62%"
"12/06/2022","17.24","17.43","18.01","17.23","531.29K","-0.63%"
"12/05/2022","17.35","17.70","17.70","17.09","542.49K","-0.91%"
"12/02/2022","17.51","16.95","17.66","16.86","1.13M","2.52%"
"12/01/2022","17.08","17.23","17.30","16.65","696.69K","-0.87%"
"11/30/2022","17.23","17.23","17.38","16.51","1.01M","1.00%"
"11/29/2022","17.06","17.14","17.56","16.63","632.81K","-1.16%"
"11/28/2022","17.26","18.19","18.19","17.15","705.81K","-3.95%"
"11/25/2022","17.97","17.56","18.09","17.50","355.32K","1.35%"
"11/23/2022","17.73","18.40","18.75","17.58","545.39K","-3.17%"
"11/22/2022","18.31","18.02","18.33","17.64","666.38K","0.60%"
"11/21/2022","18.20","18.76","19.01","18.16","727.36K","-2.78%"
"11/18/2022","18.72","19.07","19.10","18.60","546.79K","-0.27%"
"11/17/2022","18.77","19.20","19.20","18.61","532.05K","-2.39%"
"11/16/2022","19.23","19.34","19.68","19.01","815.71K","-1.08%"
"11/15/2022","19.44","19.75","20.11","17.98","2.36M","3.90%"
"11/14/2022","18.71","19.12","19.38","18.61","633.43K","-1.99%"
"11/11/2022","19.09","19.93","19.94","18.81","639.91K","-2.00%"
"11/10/2022","19.48","18.66","19.72","18.66","1.32M","4.62%"
"11/09/2022","18.62","17.21","19.94","16.99","1.09M","-0.43%"
"11/08/2022","18.70","18.78","19.75","18.61","549.24K","1.03%"
"11/07/2022","18.51","17.94","19.41","17.94","818.98K","2.95%"
"11/04/2022","17.98","18.13","18.17","17.49","657.70K","0.56%"
"11/03/2022","17.88","17.29","18.02","17.09","504.47K","1.71%"
"11/02/2022","17.58","18.27","18.59","17.55","655.37K","-3.46%"
"11/01/2022","18.21","17.88","18.53","17.82","526.84K","3.00%"
"10/31/2022","17.68","17.30","17.78","17.06","553.47K","1.03%"
"10/28/2022","17.50","16.80","17.51","16.68","831.05K","5.23%"
"10/27/2022","16.63","16.82","17.10","16.19","451.47K","0.06%"
"10/26/2022","16.62","17.01","17.45","16.32","554.50K","-2.35%"
"10/25/2022","17.02","16.74","17.19","16.74","628.19K","2.35%"
"10/24/2022","16.63","17.60","17.60","16.39","599.05K","-4.86%"
"10/21/2022","17.48","17.41","17.78","17.03","898.60K","0.69%"
"10/20/2022","17.36","17.75","17.99","17.17","657.84K","-2.20%"
"10/19/2022","17.75","18.96","18.99","17.54","928.56K","-6.48%"
"10/18/2022","18.98","19.67","19.92","18.85","406.67K","-2.16%"
"10/17/2022","19.40","19.01","19.46","18.56","745.29K","4.08%"
"10/14/2022","18.64","18.34","18.99","18.25","786.60K","2.31%"
"10/13/2022","18.22","17.84","18.24","17.35","473.38K","-0.16%"
"10/12/2022","18.25","18.35","18.42","17.52","915.27K","-1.51%"
"10/11/2022","18.53","19.01","19.26","18.11","673.20K","-2.68%"
"10/10/2022","19.04","18.97","19.26","18.81","304.00K","-0.52%"
"10/07/2022","19.14","19.51","20.09","19.08","623.77K","-3.33%"
"10/06/2022","19.80","19.78","20.48","19.31","819.68K","-0.70%"
"10/05/2022","19.94","19.79","20.34","19.17","724.80K","-2.25%"
"10/04/2022","20.40","19.47","20.64","19.47","1.24M","6.25%"
"10/03/2022","19.20","19.55","19.69","18.70","669.45K","0.47%"
"09/30/2022","19.11","18.59","19.57","18.59","1.03M","2.58%"
"09/29/2022","18.63","18.72","19.09","18.21","692.83K","-1.74%"
"09/28/2022","18.96","18.35","19.46","18.35","726.24K","3.61%"
"09/27/2022","18.30","18.82","19.03","17.89","770.78K","0.49%"
"09/26/2022","18.21","18.28","19.64","18.09","748.42K","0.11%"
"09/23/2022","18.19","18.28","18.48","17.72","500.13K","-1.46%"
"09/22/2022","18.46","18.77","18.97","18.27","453.01K","-1.55%"
"09/21/2022","18.75","19.16","19.53","18.50","747.43K","-2.50%"
"09/20/2022","19.23","18.14","19.31","18.00","831.72K","4.00%"
"09/19/2022","18.49","17.61","18.70","17.51","602.05K","3.59%"
"09/16/2022","17.85","18.44","18.50","17.01","2.90M","-4.49%"
"09/15/2022","18.69","19.02","19.27","18.35","1.05M","-2.76%"
"09/14/2022","19.22","20.33","20.83","19.20","801.17K","-5.97%"
"09/13/2022","20.44","21.04","21.26","20.17","505.11K","-5.06%"
"09/12/2022","21.53","21.67","21.89","20.81","674.79K","5.38%"
"09/09/2022","20.43","22.00","22.04","20.20","874.54K","-7.51%"
"09/08/2022","22.09","21.55","22.57","21.54","732.87K","2.55%"
"09/07/2022","21.54","21.51","21.81","20.82","582.91K","2.18%"
"09/06/2022","21.08","23.92","23.92","20.80","740.42K","-12.57%"
"09/02/2022","24.11","26.87","26.87","24.03","760.27K","-10.27%"
"09/01/2022","26.87","27.04","27.13","25.30","421.79K","-0.30%"
"08/31/2022","26.95","25.95","27.40","25.72","986.67K","4.42%"
"08/30/2022","25.81","24.45","25.84","24.38","383.54K","5.65%"
"08/29/2022","24.43","24.06","24.82","24.01","312.96K","-0.12%"
"08/26/2022","24.46","24.05","24.97","23.47","616.69K","3.53%"
"08/25/2022","23.63","24.05","24.05","22.88","529.49K","-0.94%"
"08/24/2022","23.85","25.69","25.69","23.73","481.21K","-6.40%"
"08/23/2022","25.48","25.32","25.95","24.52","343.12K","0.83%"
"08/22/2022","25.27","25.30","25.70","24.76","384.45K","-1.60%"
"08/19/2022","25.68","25.83","26.14","25.03","325.44K","-1.19%"
"08/18/2022","25.99","25.15","26.14","24.68","388.81K","3.46%"
"08/17/2022","25.12","25.00","25.41","24.69","375.34K","0.12%"
"08/16/2022","25.09","24.61","25.13","23.89","408.55K","1.50%"
"08/15/2022","24.72","24.90","25.22","24.48","309.37K","-1.63%"
"08/12/2022","25.13","24.82","25.60","23.50","730.70K","1.21%"
"08/11/2022","24.83","24.96","25.32","24.56","445.69K","-0.12%"
"08/10/2022","24.86","25.00","25.71","24.73","514.91K","0.08%"
"08/09/2022","24.84","24.85","25.29","24.64","420.52K","-0.16%"
"08/08/2022","24.88","25.24","25.58","24.04","504.65K","-1.07%"
"08/05/2022","25.15","24.35","25.58","23.77","1.22M","2.19%"
"08/04/2022","24.61","22.30","24.64","22.30","1.91M","10.81%"
"08/03/2022","22.21","21.85","23.76","21.67","3.17M","13.90%"
"08/02/2022","19.50","20.06","20.47","19.44","1.05M","-3.75%"
"08/01/2022","20.26","24.80","25.28","20.23","1.53M","-16.49%"
"07/29/2022","24.26","23.35","24.56","23.00","608.08K","3.85%"
"07/28/2022","23.36","22.50","23.50","21.89","670.35K","4.99%"
"07/27/2022","22.25","22.03","22.46","21.85","590.95K","1.14%"
"07/26/2022","22.00","21.89","23.19","21.75","535.24K","1.10%"
"07/25/2022","21.76","21.70","22.55","20.92","352.81K","1.12%"
"07/22/2022","21.52","22.86","22.86","21.30","430.66K","-5.16%"
"07/21/2022","22.69","24.32","24.47","22.53","409.85K","-5.73%"
"07/20/2022","24.07","24.69","25.14","23.90","493.51K","-3.06%"
"07/19/2022","24.83","23.67","25.21","23.63","309.47K","4.72%"
"07/18/2022","23.71","24.50","25.05","23.60","310.85K","-2.02%"
"07/15/2022","24.20","24.39","24.55","23.48","368.48K","1.13%"
"07/14/2022","23.93","24.07","24.40","23.49","218.99K","-1.32%"
"07/13/2022","24.25","23.23","24.55","23.23","353.51K","1.85%"
"07/12/2022","23.81","25.54","25.61","23.28","396.66K","-7.03%"
"07/11/2022","25.61","24.87","26.13","24.71","567.96K","0.43%"
"07/08/2022","25.50","23.00","25.84","22.95","568.00K","11.11%"
"07/07/2022","22.95","22.95","23.59","22.21","400.24K","0.83%"
"07/06/2022","22.76","22.07","23.38","21.97","526.47K","3.62%"
"07/05/2022","21.97","21.55","22.13","21.40","479.44K","1.08%"
"07/01/2022","21.73","21.24","21.89","21.16","366.58K","1.97%"
"06/30/2022","21.31","21.78","22.26","20.87","566.92K","-3.66%"
"06/29/2022","22.12","21.91","22.36","21.18","412.77K","0.41%"
"06/28/2022","22.03","21.86","22.75","21.53","475.71K","1.38%"
"06/27/2022","21.73","20.15","22.00","20.10","262.90K","5.43%"
"06/24/2022","20.61","22.44","22.97","20.50","1.84M","-6.91%"
"06/23/2022","22.14","22.24","22.50","21.79","593.49K","0.64%"
"06/22/2022","22.00","21.08","22.73","20.61","482.89K","2.76%"
"06/21/2022","21.41","21.68","22.79","21.38","424.95K","1.23%"
"06/17/2022","21.15","19.53","21.61","19.53","805.32K","8.46%"
"06/16/2022","19.50","19.94","19.95","18.71","461.19K","-5.11%"
"06/15/2022","20.55","19.87","20.71","19.44","522.74K","3.68%"
"06/14/2022","19.82","20.08","20.29","19.29","516.96K","-0.95%"
"06/13/2022","20.01","20.38","20.53","19.67","388.42K","-5.17%"
"06/10/2022","21.10","21.27","21.57","20.15","177.58K","-2.76%"
"06/09/2022","21.70","21.39","22.03","20.99","372.67K","0.88%"
"06/08/2022","21.51","21.41","22.15","21.00","240.71K","0.51%"
"06/07/2022","21.40","20.44","21.44","20.43","284.75K","4.14%"
"06/06/2022","20.55","21.50","21.77","19.98","438.78K","-3.11%"
"06/03/2022","21.21","20.45","21.73","19.75","280.48K","3.11%"
"06/02/2022","20.57","20.18","20.78","19.27","286.91K","1.38%"
"06/01/2022","20.29","20.92","21.16","20.06","339.23K","-2.83%"
"05/31/2022","20.88","20.92","21.06","20.32","445.37K","-0.52%"
"05/27/2022","20.99","19.77","21.31","19.20","834.71K","6.77%"
"05/26/2022","19.66","19.95","20.36","19.25","500.35K","0.31%"
"05/25/2022","19.60","22.05","22.33","18.20","1.42M","-11.71%"
"05/24/2022","22.20","20.98","22.60","20.11","660.59K","4.13%"
"05/23/2022","21.32","20.95","21.86","20.63","317.09K","3.19%"
"05/20/2022","20.66","20.13","20.83","19.76","316.61K","4.08%"
"05/19/2022","19.85","19.48","20.27","18.92","427.82K","1.79%"
"05/18/2022","19.50","18.87","19.79","18.87","317.12K","-0.15%"
"05/17/2022","19.53","18.77","19.61","18.46","154.34K","7.01%"
"05/16/2022","18.25","17.63","18.68","17.37","136.41K","1.78%"
"05/13/2022","17.93","18.03","18.33","17.69","301.05K","2.52%"
"05/12/2022","17.49","16.11","17.74","16.07","226.17K","7.10%"
"05/11/2022","16.33","18.82","18.82","16.14","395.43K","-13.60%"
"05/10/2022","18.90","19.53","19.89","17.99","325.00K","0.32%"
"05/09/2022","18.84","18.97","19.45","18.50","288.43K","-2.89%"
"05/06/2022","19.40","20.71","20.99","19.38","385.08K","-7.71%"
"05/05/2022","21.02","21.90","22.05","20.74","222.99K","-4.41%"
"05/04/2022","21.99","21.28","22.12","20.10","168.45K","2.23%"
"05/03/2022","21.51","21.30","21.76","20.64","149.37K","0.80%"
"05/02/2022","21.34","20.26","21.37","20.06","219.46K","5.70%"
"04/29/2022","20.19","19.85","21.07","19.76","237.15K","1.97%"
"04/28/2022","19.80","20.02","20.58","19.40","324.87K","0.15%"
"04/27/2022","19.77","19.87","20.31","19.62","263.97K","-0.75%"
"04/26/2022","19.92","21.06","21.25","19.86","261.74K","-6.30%"
"04/25/2022","21.26","20.10","21.38","19.96","275.90K","5.35%"
"04/22/2022","20.18","19.98","20.42","19.89","173.38K","-0.15%"
"04/21/2022","20.21","20.46","21.34","19.85","314.73K","-2.65%"
"04/20/2022","20.76","20.50","21.16","20.00","140.36K","1.96%"
"04/19/2022","20.36","20.09","20.90","19.74","117.62K","1.29%"
"04/18/2022","20.10","20.88","20.88","19.95","274.05K","-4.42%"
"04/14/2022","21.03","21.95","22.17","21.00","108.57K","-4.06%"
"04/13/2022","21.92","20.21","22.06","20.21","140.25K","6.93%"
"04/12/2022","20.50","21.08","21.80","20.20","335.16K","-1.35%"
"04/11/2022","20.78","20.84","21.32","20.70","349.95K","-1.56%"
"04/08/2022","21.11","20.48","21.20","20.10","445.11K","2.63%"
"04/07/2022","20.57","20.77","21.10","20.38","587.36K","-1.01%"
"04/06/2022","20.78","20.82","21.02","20.30","610.74K","-0.72%"
"04/05/2022","20.93","21.43","22.10","20.88","435.24K","-1.97%"
"04/04/2022","21.35","20.47","21.44","20.20","668.27K","4.97%"
"04/01/2022","20.34","19.30","20.56","19.28","429.74K","5.61%"
"03/31/2022","19.26","18.57","19.68","18.57","262.50K","2.72%"
"03/30/2022","18.75","18.46","19.35","18.06","375.85K","1.63%"
"03/29/2022","18.45","17.49","18.67","17.49","465.64K","5.79%"
"03/28/2022","17.44","17.14","17.49","16.30","191.73K","1.45%"
"03/25/2022","17.19","17.58","18.08","16.91","123.81K","-2.83%"
"03/24/2022","17.69","17.89","18.09","17.46","126.98K","0.63%"
"03/23/2022","17.58","17.52","18.18","17.45","367.04K","-1.07%"
"03/22/2022","17.77","16.68","17.84","16.65","186.93K","7.76%"
"03/21/2022","16.49","17.00","17.09","16.08","466.24K","-2.54%"
"03/18/2022","16.92","16.92","17.70","16.42","565.50K","-1.17%"
"03/17/2022","17.12","16.62","17.17","16.43","223.00K","5.35%"
"03/16/2022","16.25","16.26","16.85","15.81","386.39K","1.69%"
"03/15/2022","15.98","15.91","16.05","15.40","109.71K","1.52%"
"03/14/2022","15.74","16.81","17.06","15.51","231.77K","-6.59%"
"03/11/2022","16.85","17.87","18.00","16.79","313.04K","-4.21%"
"03/10/2022","17.59","16.65","17.80","16.57","1.17M","3.41%"
"03/09/2022","17.01","16.13","17.14","15.03","286.25K","8.48%"
"03/08/2022","15.68","16.61","16.71","15.59","226.59K","-5.03%"
"03/07/2022","16.51","16.95","17.49","16.35","131.69K","-1.67%"
"03/04/2022","16.79","17.10","17.73","16.60","169.46K","-4.98%"
"03/03/2022","17.67","18.42","18.42","17.18","136.62K","-3.44%"
"03/02/2022","18.30","17.81","18.98","17.81","267.32K","4.57%"
"03/01/2022","17.50","17.85","18.30","17.40","342.13K","-1.69%"
"02/28/2022","17.80","17.57","18.90","16.95","235.67K","-1.06%"
"02/25/2022","17.99","17.87","18.29","16.92","188.41K","0.56%"
"02/24/2022","17.89","15.16","17.98","14.57","470.61K","10.77%"
"02/23/2022","16.15","16.25","17.40","16.08","194.24K","0.87%"
"02/22/2022","16.01","15.79","16.57","15.54","108.15K","0.19%"
"02/18/2022","15.98","15.85","16.36","15.58","126.41K","-0.25%"
"02/17/2022","16.02","16.14","16.95","15.86","134.99K","-4.30%"
"02/16/2022","16.74","16.33","17.00","16.14","69.86K","1.45%"
"02/15/2022","16.50","15.75","16.87","15.71","229.81K","7.70%"
"02/14/2022","15.32","15.24","15.96","15.05","234.18K","-0.97%"
"02/11/2022","15.47","15.86","16.18","15.36","168.30K","-2.64%"
"02/10/2022","15.89","16.57","17.15","15.50","308.29K","-6.03%"
"02/09/2022","16.91","15.60","17.35","15.60","372.73K","8.33%"
"02/08/2022","15.61","15.49","15.73","14.77","172.30K","0.84%"
"02/07/2022","15.48","14.81","15.75","14.81","134.97K","4.52%"
"02/04/2022","14.81","14.53","15.13","14.19","130.21K","0.89%"
"02/03/2022","14.68","14.66","15.10","14.61","126.62K","-1.21%"
"02/02/2022","14.86","15.54","15.88","14.58","194.68K","-4.13%"
"02/01/2022","15.50","15.12","15.81","14.84","213.62K","2.58%"
"01/31/2022","15.11","14.59","15.21","14.59","170.06K","3.00%"
"01/28/2022","14.67","14.36","14.79","13.59","129.59K","2.02%"
"01/27/2022","14.38","15.15","15.28","14.22","206.38K","-4.64%"
"01/26/2022","15.08","15.55","16.47","14.90","292.10K","-2.20%"
"01/25/2022","15.42","15.59","15.84","14.59","283.45K","-2.96%"
"01/24/2022","15.89","15.00","16.03","14.49","272.23K","3.18%"
"01/21/2022","15.40","15.18","15.73","14.81","265.11K","1.65%"
"01/20/2022","15.15","15.91","16.16","15.09","111.03K","-3.01%"
"01/19/2022","15.62","16.43","16.66","15.55","110.55K","-2.92%"
"01/18/2022","16.09","17.02","17.40","15.96","240.93K","-7.58%"
"01/14/2022","17.41","17.13","17.66","16.12","342.54K","2.77%"
"01/13/2022","16.94","18.07","18.12","16.83","263.95K","-5.36%"
"01/12/2022","17.90","18.94","18.94","17.86","138.64K","-5.09%"
"01/11/2022","18.86","18.95","19.80","18.56","96.16K","0.11%"
"01/10/2022","18.84","18.53","18.98","17.70","120.54K","0.96%"
"01/07/2022","18.66","19.70","20.29","18.40","123.73K","-5.28%"
"01/06/2022","19.70","20.26","20.30","18.74","228.43K","-2.91%"
"01/05/2022","20.29","22.10","22.87","20.24","235.75K","-9.82%"
"01/04/2022","22.50","22.31","23.00","22.06","241.36K","-1.27%"
"01/03/2022","22.79","20.33","22.86","20.31","153.67K","9.88%"
"12/31/2021","20.74","20.46","20.95","20.26","156.21K","1.27%"
"12/30/2021","20.48","20.49","21.33","20.08","169.76K","-0.05%"
"12/29/2021","20.49","20.72","20.97","19.69","178.16K","-2.15%"
"12/28/2021","20.94","20.12","21.88","20.12","248.90K","3.56%"
"12/27/2021","20.22","19.98","20.50","19.88","256.88K","0.60%"
"12/23/2021","20.10","18.85","20.38","17.56","337.16K","8.41%"
"12/22/2021","18.54","17.42","18.64","17.11","145.41K","4.33%"
"12/21/2021","17.77","17.28","18.12","17.28","106.83K","2.07%"
"12/20/2021","17.41","16.80","17.70","16.47","141.48K","1.99%"
"12/17/2021","17.07","16.53","17.24","15.70","302.39K","3.45%"
"12/16/2021","16.50","16.11","16.64","15.78","209.71K","3.13%"
"12/15/2021","16.00","14.88","16.04","14.16","306.76K","6.81%"
"12/14/2021","14.98","15.70","15.70","14.83","166.06K","-3.54%"
"12/13/2021","15.53","14.86","15.97","14.86","154.23K","1.44%"
"12/10/2021","15.31","15.95","16.07","15.24","141.68K","-3.04%"
"12/09/2021","15.79","16.07","16.38","15.52","158.40K","-3.19%"
"12/08/2021","16.31","16.48","17.00","16.13","151.09K","-1.27%"
"12/07/2021","16.52","15.95","16.68","15.67","283.20K","6.37%"
"12/06/2021","15.53","15.12","15.71","14.92","196.85K","1.04%"
"12/03/2021","15.37","16.02","16.02","14.93","558.70K","-3.94%"
"12/02/2021","16.00","15.67","16.08","15.15","247.92K","3.49%"
"12/01/2021","15.46","16.80","16.80","15.41","231.71K","-6.70%"
"11/30/2021","16.57","15.71","16.94","15.30","334.47K","5.14%"
"11/29/2021","15.76","16.83","16.99","15.56","480.23K","-5.46%"
"11/26/2021","16.67","17.11","17.42","16.05","145.95K","-5.98%"
"11/24/2021","17.73","17.46","18.25","17.02","326.15K","1.26%"
"11/23/2021","17.51","17.78","17.78","16.25","319.31K","3.24%"
"11/22/2021","16.96","17.60","18.16","16.92","254.76K","-6.76%"
"11/19/2021","18.19","18.75","18.89","18.12","126.46K","-3.45%"
